id,street,zip,saledate,price,bedrooms,squarefeet,lotsize,yearbuilt,condolike,latitude,longitude
5020,1136 Quintara Street,94116,2009-06-12,695500,0,1302,1498,1942,0,37.748705,-122.477608
76649,1136 Rhode Island Street,94107,2008-03-28,1080000,1,1774,2500,1907,0,37.755429,-122.401986
16440,1138 Page Street,94117,2009-04-03,725000,0,2334,3436,1906,0,37.772042,-122.439615
54371,1139 Shrader Street,94117,2008-08-19,1150000,0,1444,NA,1923,0,37.7641363,-122.4511062
42760,114 Rousseau Street,94112,2008-10-15,677000,3,1400,2500,1913,0,37.732901,-122.430475
45526,1145 Lake Street,94118,2008-09-30,120000,4,2110,2495,1921,0,37.786105,-122.471812
78297,1145 Pine Street #25,94109,2008-03-14,330000,NA,NA,NA,1912,1,37.790075,-122.414723
27014,1145 Wisconsin Street,94107,2009-01-21,500000,0,1057,2495,1905,0,37.752953,-122.398212
11256,1146 Florida Street,94110,2009-05-11,779000,0,1150,2500,1900,0,37.753567,-122.410423
44669,115 Maywood Drive,94127,2008-10-03,1061000,0,1680,3297,NA,0,37.734371,-122.462099
27263,115 Quintara Street,94116,2009-01-16,725000,0,1204,2495,1956,0,37.748812,-122.466683
4302,1151 Gilman Avenue,94124,2009-06-17,425000,5,1350,2500,1928,0,37.719709,-122.391053
77717,1155 Leavenworth Street #15,94109,2008-03-21,265000,NA,NA,NA,NA,1,37.791955,-122.416121
74778,1155 Pine Street #1,94109,2008-04-10,470000,1,642,623,1913,1,37.790058,-122.414851
48038,1155 Pine Street #10,94109,2008-09-19,453000,1,517,610,1913,1,37.790058,-122.414851
51089,1155 Pine Street #12,94109,2008-09-03,545000,1,754,NA,1913,1,37.790058,-122.414851
81447,116 Lyon Street,94117,2008-02-20,1525000,NA,NA,NA,1900,0,37.772205,-122.442037
72992,116 Lyon Street,94117,2008-04-23,370000,NA,NA,NA,1900,0,37.772205,-122.442037
51100,116 Wawona Street,94127,2008-09-03,1180000,2,1318,3249,1923,0,37.741109,-122.46713
71761,1160 Mission Street #1001,94103,2008-04-30,820000,NA,NA,NA,NA,1,37.7782007,-122.4122437
69145,1160 Mission Street #1004,94103,2008-05-16,604500,NA,NA,NA,NA,1,37.7782007,-122.4122437
80861,1160 Mission Street #1009,94103,2008-02-26,554000,NA,NA,NA,NA,1,37.7782007,-122.4122437
77714,1160 Mission Street #1111,94103,2008-03-21,470000,NA,NA,NA,NA,1,37.7782007,-122.4122437
74551,1160 Mission Street #1113,94103,2008-04-11,765000,NA,NA,NA,NA,1,37.7782007,-122.4122437
81137,1160 Mission Street #1203,94103,2008-02-22,489000,NA,NA,NA,NA,1,37.7782007,-122.4122437
68397,1160 Mission Street #1205,94103,2008-05-22,470000,NA,NA,NA,NA,1,37.7782007,-122.4122437
77715,1160 Mission Street #1403,94103,2008-03-21,501000,NA,NA,NA,NA,1,37.7782007,-122.4122437
69146,1160 Mission Street #1405,94103,2008-05-16,492000,NA,NA,NA,NA,1,37.7782007,-122.4122437
73150,1160 Mission Street #1411,94103,2008-04-22,487000,NA,NA,NA,NA,1,37.7782007,-122.4122437
68030,1160 Mission Street #1502,94103,2008-05-23,728000,NA,NA,NA,NA,1,37.7782007,-122.4122437
76644,1160 Mission Street #1603,94103,2008-03-28,570000,NA,NA,NA,NA,1,37.7782007,-122.4122437
71762,1160 Mission Street #1604,94103,2008-04-30,688000,NA,NA,NA,NA,1,37.7782007,-122.4122437
68398,1160 Mission Street #1605,94103,2008-05-22,487500,NA,NA,NA,NA,1,37.7782007,-122.4122437
73880,1160 Mission Street #1611,94103,2008-04-17,495000,NA,NA,NA,NA,1,37.7782007,-122.4122437
71759,1160 Mission Street #1703,94103,2008-04-30,587500,NA,NA,NA,NA,1,37.7782007,-122.4122437
68031,1160 Mission Street #1803,94103,2008-05-23,540000,NA,NA,NA,NA,1,37.7782007,-122.4122437
71763,1160 Mission Street #1911,94103,2008-04-30,597500,NA,NA,NA,NA,1,37.7782007,-122.4122437
80828,1160 Mission Street #501,94103,2008-02-27,738000,NA,NA,NA,NA,1,37.7782007,-122.4122437
68665,1160 Mission Street #504,94103,2008-05-21,669000,NA,NA,NA,NA,1,37.7782007,-122.4122437
74206,1160 Mission Street #707,94103,2008-04-15,695000,NA,NA,NA,NA,1,37.7782007,-122.4122437
81432,1160 Mission Street #802,94103,2008-02-20,670000,NA,NA,NA,NA,1,37.7782007,-122.4122437
71760,1160 Mission Street #810,94103,2008-04-30,566500,NA,NA,NA,NA,1,37.7782007,-122.4122437
76643,1160 Mission Street #904,94103,2008-03-28,570000,NA,NA,NA,NA,1,37.7782007,-122.4122437
69144,1160 Mission Street #908,94103,2008-05-16,922000,NA,NA,NA,NA,1,37.7782007,-122.4122437
31778,1169 Sanchez Street #1169,94114,2008-12-17,775000,1,970,NA,1910,1,37.7503495,-122.4295563
42269,1170 Burrows Street,94134,2008-10-17,650000,0,1243,2500,1958,0,37.726425,-122.415305
21705,1170 Sacramento Street #17B,94108,2009-02-27,2400000,0,1961,NA,1963,1,37.79293,-122.41219
12666,1170 Sacramento Street #B,94108,2009-05-01,130000,0,1999,NA,1963,1,37.79293,-122.41219
62214,1171 Oak Street #2,94117,2008-06-27,795000,NA,NA,NA,NA,1,37.7729779,-122.4385782
33536,1174 Pacific Avenue,94133,2008-12-05,976000,0,3375,1271,1923,0,37.796085,-122.414557
72670,1177 California Street #1010,94108,2008-04-25,1400000,NA,NA,NA,1978,1,37.79099,-122.413658
54951,1177 California Street #1112,94108,2008-08-15,788000,1,1056,1041,1978,1,37.79099,-122.413658
50890,1177 California Street #422,94108,2008-09-04,425000,1,535,NA,1978,1,37.79099,-122.413658
51088,1177 California Street #533,94108,2008-09-03,570000,0,756,NA,1978,1,37.79099,-122.413658
28505,1177 California Street #612,94108,2009-01-08,700000,1,1056,NA,1978,1,37.79099,-122.413658
23982,1177 Filbert Street,94109,2009-02-12,1279000,2,1305,NA,1907,0,37.8001553,-122.4188542
67458,1179 Palou Avenue,94124,2008-05-28,300000,NA,NA,NA,1961,0,37.729306,-122.383206
55195,118 Baden Street,94131,2008-08-14,805000,0,1532,2500,1939,0,37.731062,-122.439463
42266,118 Day Street,94131,2008-10-17,1225000,0,1050,2850,1900,0,37.743005,-122.425152
62222,118 Granville Way,94127,2008-06-27,1225000,2,1522,3197,1925,0,37.741371,-122.460925
43256,118 Lakeview Avenue,94112,2008-10-14,450000,0,1054,2495,1900,0,37.716957,-122.45133
17880,118 Midcrest Way,94131,2009-03-26,720000,0,960,3750,1953,0,37.748821,-122.448687
30463,1185 Rhode Island Street,94107,2008-12-23,825000,0,794,2500,1906,0,37.754988,-122.401319
66908,1188 Dolores Street,94110,2008-05-30,2000000,NA,NA,NA,1909,0,37.750404,-122.42542
77888,1188 Green Street #10,94109,2008-03-19,380000,NA,NA,NA,1913,1,37.798476,-122.418659
70894,119 Arch Street,94132,2008-05-06,550000,NA,NA,NA,1945,0,37.71288,-122.467355
46123,119 Knollview Way,94131,2008-09-30,975000,3,1832,3672,1956,0,37.751657,-122.451302
16967,119 Parker Avenue,94118,2009-03-31,1183500,NA,NA,NA,NA,0,37.78339,-122.454699
52631,1191 Noe Street,94114,2008-08-28,575000,0,983,NA,NA,0,37.7501281,-122.4317202
862,1195 Munich Street,94112,2009-07-03,549000,0,1240,4011,1913,0,37.710912,-122.438182
66907,1197 Dolores Street,94110,2008-05-30,1850000,NA,NA,NA,1908,0,37.750393,-122.424631
60826,12 Brentwood Avenue,94127,2008-07-03,990000,4,1095,3485,1940,0,37.733271,-122.454101
79412,120 Cross Street,94112,2008-03-06,750000,5,1999,1873,1978,0,37.713719,-122.442662
24982,120 Eureka Street,94114,2009-02-04,1046000,3,1473,3123,1900,0,37.760258,-122.4382514
56998,120 Joice Street #301,94108,2008-08-01,549000,1,728,NA,1979,1,37.792419,-122.40822
54928,120 Moffitt Street,94131,2008-08-15,1020000,0,1566,2308,1952,0,37.737586,-122.432961
54266,1200 40th Avenue,94122,2008-08-20,780000,0,1946,2060,1926,0,37.764301,-122.499485
76878,1200 Gough Street #11F,94109,2008-03-27,537000,1,840,NA,1966,1,37.784762,-122.424458
73504,1200 Gough Street #12F,94109,2008-04-18,572000,1,840,NA,1966,1,37.784762,-122.424458
67461,1201 Monterey Boulevard,94127,2008-05-28,1655000,NA,NA,NA,1930,0,37.729776,-122.461822
69781,1202 19th Street,94107,2008-05-14,1325000,4,2540,2500,1907,0,37.761629,-122.39476
64621,1209 23rd Avenue,94122,2008-06-13,1325000,NA,NA,NA,1941,0,37.764921,-122.481696
50356,121 Ellington Avenue,94112,2008-09-08,640000,0,1190,2060,1924,0,37.714621,-122.443323
76880,121 Louisburg Street,94112,2008-03-27,562000,NA,NA,NA,1926,0,37.721325,-122.449251
76835,121 Wilde Avenue,94134,2008-03-27,612000,NA,NA,NA,1938,0,37.716268,-122.400487
40472,1210 7th Avenue,94122,2008-10-28,1650000,8,4042,2063,1990,0,37.765769,-122.464112
81104,1212 Arguello Boulevard,94122,2008-02-22,1650000,NA,NA,NA,1904,0,37.765537,-122.457421
59823,1213 44th Avenue,94122,2008-07-11,1200000,5,2710,12785,1967,0,37.763813,-122.504346
59561,1215 20th Avenue #1,94122,2008-07-14,760000,2,966,1742,1922,1,37.76502,-122.478595
58438,1216 Shafter Avenue,94124,2008-07-25,391000,NA,NA,NA,1919,0,37.727162,-122.383601
78024,1216 Treat Avenue #V,94110,2008-03-18,590000,NA,NA,NA,NA,1,37.750623,-122.413104
19093,1217 Cole Street,94117,2009-03-18,760000,0,1010,NA,1908,0,37.763002,-122.449558
16045,1217 Florida Street,94110,2009-04-07,600000,0,7656,4025,1900,0,37.752386,-122.409832
63219,1218 17th Avenue,94122,2008-06-23,400000,NA,NA,NA,1926,0,37.765121,-122.474759
11357,1218 Treat Avenue,94110,2009-05-08,815000,NA,NA,NA,NA,0,37.7506059,-122.4128223
45822,1219 Lombard Street,94109,2008-09-30,3189500,2,2185,3509,1900,0,37.801408,-122.42181
32571,1219 Naples Street,94112,2008-12-12,225000,0,1200,2626,1924,0,37.711369,-122.437854
6031,1220 Union Street,94109,2009-06-05,1172000,4,1932,1200,1907,0,37.79929,-122.419413
20769,1221 Harrison Street #23,94103,2009-03-06,670000,0,1404,NA,2004,1,37.7734452,-122.4089726
65006,1225 Clayton Street #1227,94114,2008-06-12,944000,NA,NA,NA,1914,1,37.761372,-122.446866
65328,1226 2nd Avenue,94122,2008-06-10,1879000,NA,NA,NA,1910,0,37.765778,-122.458584
51833,1227 12th Avenue,94122,2008-08-29,870000,0,2020,3000,1907,0,37.765125,-122.469938
49931,123 Cabrillo Street,94118,2008-09-10,380000,0,1300,2173,1922,0,37.775313,-122.460048
63218,123 Eureka Street,94114,2008-06-23,809000,NA,NA,NA,1900,0,37.760246,-122.4379
9341,123 Paris Street,94112,2009-05-21,360000,0,1250,2495,1925,0,37.726442,-122.431119
39657,123 Scotia Avenue,94124,2008-10-31,470000,0,1125,2308,1940,0,37.732683,-122.400166
41522,1230 19th Avenue,94122,2008-10-22,575000,0,1380,3000,1900,0,37.7647975,-122.4771835
21669,1230 Visitacion Avenue,94134,2009-02-27,501000,0,2250,NA,1974,0,37.712475,-122.411068
899,1231 Brussels Street,94134,2009-07-02,351500,2,1203,2996,1913,0,37.717141,-122.401263
37578,1232 Anza Street,94118,2008-11-13,1100000,0,2700,2495,1908,0,37.77935,-122.461327
66013,1233 Howard Street #3A,94103,2008-06-05,669000,NA,NA,NA,2000,1,37.775626,-122.411781
73603,1234 Howard Street,94103,2008-04-18,679000,NA,NA,NA,NA,0,37.775995,-122.412507
77475,1234 Howard Street #1A-2,94103,2008-03-24,785000,NA,NA,NA,NA,1,37.775995,-122.412507
78641,1234 Howard Street #1B-2,94103,2008-03-13,785000,NA,NA,NA,NA,1,37.775995,-122.412507
71136,1234 Howard Street #2A-3,94103,2008-05-02,620000,NA,NA,NA,NA,1,37.775995,-122.412507
78541,1234 Howard Street #2B-3,94103,2008-03-14,610000,NA,NA,NA,NA,1,37.775995,-122.412507
81433,1234 Howard Street #3A,94103,2008-02-20,395000,NA,NA,NA,NA,1,37.775995,-122.412507
14720,1235 McAllister Street,94115,2009-04-16,199500,0,636,NA,NA,0,37.778424,-122.432348
78607,1236 45th Avenue,94122,2008-03-13,975000,NA,NA,NA,1908,0,37.763521,-122.504742
30468,1237 Alemany Boulevard,94112,2008-12-23,658000,0,1375,2221,1929,0,37.730137,-122.431721
75249,1239 Clayton Street,94114,2008-04-07,765000,NA,NA,NA,1914,0,37.7612833,-122.4465299
51497,1239 Union Street,94109,2008-08-29,1620000,0,2338,1363,1908,0,37.798934,-122.419688
66688,124 Pierce Street,94117,2008-05-30,801000,NA,NA,NA,1900,0,37.771293,-122.433348
79114,1242 12th Avenue,94122,2008-03-07,730000,NA,NA,NA,NA,0,37.764933,-122.4695772
77255,1243 38th Avenue,94122,2008-03-25,750000,NA,NA,NA,1926,0,37.763685,-122.497885
6893,1247 Anza Street #2,94118,2009-06-02,630000,0,989,NA,1938,1,37.779077,-122.46143
35631,1247 Harrison Street #14,94103,2008-11-24,600000,0,1002,NA,2004,1,37.772892,-122.409334
75150,1247 Harrison Street #20,94103,2008-04-08,669000,NA,NA,NA,2004,1,37.7731888,-122.4092951
70992,125 Mountain Spring Avenue,94114,2008-05-05,2700000,NA,NA,NA,1961,0,37.757863,-122.451581
